event,pupilSize
1.0,1.147357834682647
2.0,-0.21144125406586575
3.0,-0.9645074546437594
4.0,-0.31699047769810124
5.0,-0.6833393743843567
6.0,-0.7177806412139882
7.0,-0.7072864435920403
8.0,-1.029980140564289
9.0,-1.1009265177919885
10.0,-1.1218692285211378
11.0,-0.7825859276263937
12.0,-0.4081921330423597
13.0,-0.45742403639321694
14.0,-0.5483842251773868
15.0,-0.6470783073603912
16.0,-0.11653287362512528
17.0,0.8759184862784215
18.0,1.18270605362905
19.0,0.3755536219183395
20.0,0.02345839182586129
21.0,-0.12630253600813762
22.0,0.5508166872151327
23.0,1.6524662368576244
24.0,1.556700945624501
