event,pupilSize
1.0,1.657621453659922
2.0,1.5018036047166912
3.0,0.6525469583395057
4.0,-0.397388668114043
5.0,-0.18120051680558102
6.0,-0.7140067377580863
7.0,-1.1577753576087284
8.0,-0.9480845807348415
9.0,-0.9676108729227709
10.0,-1.0511282533791286
11.0,-0.6685072715258902
12.0,-0.20379722792395796
13.0,-0.5248102647800281
14.0,-0.9341236561788673
15.0,-0.10835459301685366
16.0,-0.06765913422393631
17.0,0.3603919967240206
18.0,0.17061284800427248
19.0,-0.49157315769538146
20.0,0.7501060085547862
21.0,0.576088925198341
22.0,0.05461715506711482
23.0,0.9019490480422759
24.0,0.6067243649732551
