event,pupilSize
1.0,0.8948758668708087
2.0,1.173037798529245
3.0,0.48166856539424424
4.0,-0.053544344109346734
5.0,-0.41130371975490354
6.0,-0.30100543180405465
7.0,-0.7532022828274391
8.0,-0.8790190106096575
9.0,-1.336625427037057
10.0,0.03610727385494153
11.0,-0.04684969996661264
12.0,-0.4376613460858362
13.0,-0.7318711808775271
14.0,-0.521731713450447
15.0,-0.4663638303675099
16.0,-0.2372858435622935
17.0,0.28936959778768834
18.0,-0.05781394600749111
19.0,0.9019325052703522
20.0,0.5853436198491958
21.0,0.15174135358283244
22.0,0.39489798194188125
23.0,1.1690906058818626
24.0,0.5150147237392031
