event,pupilSize
1.0,1.767850124758543
2.0,0.6524344646646502
3.0,0.7836853395113269
4.0,0.3143384411571986
5.0,0.11776300567788134
6.0,0.09569437591254583
7.0,-0.5135799409850257
8.0,0.005689426027732477
9.0,-0.6972182695589366
10.0,-0.6743176307596968
11.0,-0.9304231540312297
12.0,-0.6430949484692001
13.0,-0.6058271307713494
14.0,-0.732756736295035
15.0,-0.06569708786859055
16.0,0.03759653836551456
17.0,-0.11199194813326113
18.0,0.06757831048307861
19.0,-0.34185209187030463
20.0,0.05117118200088259
21.0,-0.19955604347535244
22.0,-0.25782512961230664
23.0,0.8492390475499186
24.0,-0.016328549415257326
