event,pupilSize
1.0,0.8334919101236199
2.0,0.08884220116623817
3.0,-0.314787402624137
4.0,0.4132175466551775
5.0,0.8221277038991722
6.0,-1.373095104704102
7.0,-0.29497949863699924
8.0,0.19929118922469016
9.0,-0.4707191995511647
10.0,-0.2390911148898303
11.0,-0.6208347735168418
12.0,-0.5273123707959262
13.0,-0.8996313285703921
14.0,1.2868091487527167
15.0,-0.9211502006223802
16.0,-0.2291013621997645
17.0,0.08759846086619129
18.0,-0.01136951359839817
19.0,-0.6737719269733218
20.0,0.29056087720036783
21.0,-0.5328325474676783
22.0,0.4456507456632582
23.0,1.2774247651805792
24.0,0.6229593216173084
