event,pupilSize
1.0,0.8022830958803829
2.0,1.1179203202826153
3.0,0.6062341103889969
4.0,0.060209872239917535
5.0,-0.3100203491254357
6.0,1.0416739810366566
7.0,0.19947955060942948
8.0,-0.15729449743050336
9.0,-0.05590359992561241
10.0,-0.18661728114102438
11.0,-0.10112641557059712
12.0,0.7195825637337251
13.0,0.3742664555175959
14.0,0.6360682517510545
15.0,-0.3198100725406513
16.0,-0.7761346996792717
17.0,-0.2542622592828178
18.0,-0.33903635014567535
19.0,-1.0985203018996188
20.0,-1.1474884174910938
21.0,-0.6421534181665953
22.0,-0.015109286452478644
23.0,-0.2769075817289471
24.0,0.48476620280649757
