event,pupilSize
1.0,0.8393450148173877
2.0,0.6118430307007595
3.0,0.2281925369543629
4.0,-0.05008459277051558
5.0,-0.49685049190961594
6.0,0.9184611234751942
7.0,-0.520805280960279
8.0,-0.5940856926773248
9.0,-0.642537577842697
10.0,0.3242038054070639
11.0,0.3756753060921466
12.0,-0.4232325108770925
13.0,-0.1961518728668421
14.0,-0.053166338009203194
15.0,-0.4135972771097227
16.0,0.2724404142323193
17.0,0.09051101246532968
18.0,-0.46237062377013466
19.0,-0.571012519894271
20.0,0.25440694208030623
21.0,0.4085872256738372
22.0,-0.395533856858977
23.0,0.15778354616457632
24.0,0.2323428806014153
