event,pupilSize
1.0,1.0202242343266315
2.0,0.5981503246210189
3.0,0.9416471919503228
4.0,0.47476781167912024
5.0,-0.13361961429587005
6.0,-0.06729249545495847
7.0,-0.024879437234659116
8.0,-0.6774780584034988
9.0,-1.0765573835467315
10.0,-1.190517064272505
11.0,-1.4331136425342113
12.0,-0.9823191777454897
13.0,-1.2025798945784039
14.0,-0.5301947049032788
15.0,-0.9719914861965417
16.0,0.3803933455505729
17.0,0.4361821724157664
18.0,-0.21716912701881047
19.0,0.04701036652439178
20.0,-0.3881022866268736
21.0,-0.017887002939624537
22.0,1.3682297011326465
23.0,1.663512894984571
24.0,0.8391130363703565
