event,pupilSize
1.0,0.5237877874266782
2.0,0.20060359766515481
3.0,-0.14206490068786132
4.0,-0.5896732568260019
5.0,-1.1763836751972583
6.0,-0.8181605295023158
7.0,-1.0999049910389036
8.0,-0.8095739595419779
9.0,-1.1349737955918209
10.0,-1.4457668615295571
11.0,-1.505231803509678
12.0,-0.512261111828388
13.0,0.39371586451507407
14.0,0.4441016424575106
15.0,0.256917436533969
16.0,0.39306388108176554
17.0,0.7061392057722379
18.0,0.8207434683874939
19.0,0.7967469404499276
20.0,0.2992898684886972
21.0,0.9789808849976056
22.0,1.0163351434906593
23.0,1.0826349468926497
24.0,0.21346311407323784
