event,pupilSize
1.0,1.5266736424846494
2.0,0.8996822445608343
3.0,0.6568491190803295
4.0,0.4360581316640672
5.0,-0.09184226583088047
6.0,-0.2100132681441775
7.0,-0.09963783840048118
8.0,-0.19670830921568935
9.0,-0.7479952475902023
10.0,-0.42082234799029
11.0,-0.4553622045483457
12.0,-0.7292331647874061
13.0,-0.11757278264311315
14.0,0.29831440523665037
15.0,0.10247582189493663
16.0,-0.04964814644388491
17.0,-0.6897279671290651
18.0,0.4609511598440903
19.0,1.3688429430102995
20.0,0.8699780049178867
21.0,-0.5175717560379256
22.0,-1.1755420602105344
23.0,0.2399566651494212
24.0,-1.0887444591373967
