event,pupilSize
1.0,0.36443233373977874
2.0,-0.39941413863829794
3.0,-0.3704593327728552
4.0,-0.2950072819214471
5.0,-0.721051145084847
6.0,-0.9253705170982687
7.0,-0.4631662428964743
8.0,-0.2954777297599036
9.0,-0.9658412657642561
10.0,0.007656020186727273
11.0,-1.1282700154575438
12.0,0.7326982725029632
13.0,-0.0396511698185424
14.0,0.17531474967789124
15.0,0.23401604562659686
16.0,0.04510683493377655
17.0,0.26168249845578356
18.0,-0.6527632660497793
19.0,-0.3396375375536608
20.0,0.44304080107532534
21.0,0.912261760002747
22.0,0.023747664491124122
23.0,1.3143927249277225
24.0,0.6115570863113654
