TR,pupilSize
1,2472.2699999999995
2,2400.608009153318
3,2141.268
4,2324.9699999999993
5,2319.89
6,2266.4452581032415
7,2395.762
8,2456.39
9,2540.58
10,2561.166
11,2555.6279999999997
12,2293.0460000000003
13,2176.826
14,2525.3940000000002
15,2544.9040000000005
16,2139.252
17,2171.344
18,2358.4120000000003
19,2277.022662601626
20,2006.07
21,1999.346
22,2083.78
23,1996.978
24,1847.3234042553195
25,1684.2079999999999
26,1924.1860000000001
27,2074.696
28,2075.494
29,1680.4579999999999
30,1711.6299999999997
31,1908.391836734694
32,1893.5020000000002
33,2180.34
34,2168.6541666666667
35,1878.378
36,2011.5083333333332
37,1799.3
38,2030.322
39,2176.9080000000004
40,2299.6387755102037
41,2170.944376899696
42,1890.604
43,1847.5280000000002
44,1831.3875215641172
45,1808.7160000000001
46,2000.8740000000003
47,2075.518
48,2143.7255319148935
49,1837.0540000000003
50,1897.9460000000001
51,2055.39
52,2020.0948958333336
53,1860.8964539007095
54,2102.82
55,2244.1459999999997
56,2301.6839999999997
57,1993.7994197292066
58,1591.6440000000002
59,1631.2279999999998
60,1657.3380000000002
61,1786.276
62,1915.9048494983274
63,1871.9040000000002
64,1982.6960000000004
65,1906.392
66,1526.1270000000002
67,1609.3499999999997
68,1577.8139999999999
69,1402.442
70,1448.47
71,1525.156
72,1694.8040000000003
73,1790.0120000000004
74,1955.1265306122448
75,2044.4160000000002
76,1945.648
77,1517.5697217675943
78,1403.9920000000002
79,1491.024
80,1448.3239999999998
81,1643.5179999999998
82,1807.1319999999998
83,1916.68
84,1741.88
85,1693.5688215102975
86,1491.852
87,1525.604
88,1501.454
89,1716.6739999999998
90,1782.355543113102
91,1932.622
92,1929.108
93,1906.2617021276596
94,1842.7620000000002
95,1756.9619999999998
96,1768.2936170212763
97,2011.9879999999998
98,1952.1459999999997
99,1853.3240000000003
100,1763.4480000000005
101,1680.4667020148463
102,1791.0080000000003
103,1923.6819999999998
104,1891.8399999999997
105,1856.846
106,1970.364
107,2134.856
108,2175.1180000000004
109,2039.25
110,1921.596
111,1693.2261398176292
112,1461.832
113,1677.622
114,1770.6285714285714
115,1968.1359999999997
116,1757.783
117,1849.4219999999998
118,1888.4419999999998
119,1831.1195175438597
120,1662.36
121,1777.9680851063833
122,1713.4059999999997
123,1727.4297872340428
124,1758.6580000000001
125,1635.7172256097563
126,1645.996
127,1612.0595182138657
128,1653.714
129,1707.8731382978722
130,1904.726
131,2049.054
132,1848.978
133,1897.8220000000001
134,1931.3761968085103
135,1967.9139999999998
