TR,pupilSize
1,1410.754
2,1499.8020000000001
3,1514.9541666666667
4,1540.5339999999999
5,1797.9319999999998
6,1731.4400000000003
7,1714.7479999999998
8,1206.58
9,1607.2179999999998
10,1428.816
11,1581.8980000000001
12,1618.138
13,1462.3333333333333
14,1417.2160000000001
15,1435.236
16,1454.746
17,1415.2060000000001
18,1450.2780000000002
19,1497.26
20,1427.442
21,1401.4539999999997
22,1373.19
23,1415.336
24,1409.4620000000002
25,1322.81
26,1279.9499999999998
27,1285.9940000000001
28,1245.3020000000004
29,1185.928
30,1132.4529411764706
31,1186.348
32,1173.6580000000001
33,1146.976
34,1144.5880000000002
35,1145.216
36,1162.7399999999998
37,1157.66
38,1195.72
39,1203.5800000000002
40,1180.626
41,1141.16
42,1147.308
43,1163.358
44,1161.998
45,1105.7851063829787
46,1091.62
47,1126.982
48,1155.4039999999998
49,1198.21
50,1245.528
51,1223.476
52,1186.764
53,1129.918
54,1183.672
55,1230.0099999999998
56,1199.82
57,1197.238
58,1190.7734693877553
59,1048.137
60,1172.69
61,1112.4804545454544
62,1226.7392857142856
63,1208.5919999999999
64,1226.4879999999998
65,1004.222
66,1145.2434782608696
67,1207.9101190476192
68,1199.346
69,1195.482
70,1165.494
71,1170.032
72,1153.058
73,1037.4699999999998
74,1188.552
75,1224.3625
76,1174.0340425531915
77,1221.5479999999998
78,1113.095
79,1191.124
80,1162.3519999999999
81,1120.958
82,1131.2978260869565
83,1121.6080000000002
84,1124.572
85,947.511
86,1151.332
87,1029.598
88,1137.6000000000001
89,1146.678
90,1140.2799999999997
91,1004.846
92,1074.302
93,1098.4080000000001
94,1122.126
95,1128.076
96,1094.8916666666667
97,1150.712
98,1227.1680000000001
99,1200.896
100,1120.478
101,1113.9382978723404
102,1088.878260869565
103,1104.66
104,1077.852989130435
105,1169.19
106,1076.69
107,1180.5040000000001
108,1044.6940000000002
109,1127.1
110,1016.77
111,1282.5379999999998
112,1245.5919999999999
113,969.0790000000001
114,1144.8080000000002
115,1213.892
116,1195.776
117,1135.6860000000001
118,1022.8850161117078
119,1137.826
120,1228.8416666666665
121,1179.81
122,1064.475
123,1108.8480000000002
124,977.5060000000001
125,1050.154
126,1090.598
127,1116.7480000000003
128,991.683
129,1082.572
130,1132.4520000000002
131,1074.843368902439
132,1076.0339999999999
133,1114.5645833333333
134,1106.3040816326532
135,1052.094
136,1012.584
137,1027.034
138,1061.6019999999999
139,1061.732
140,957.7260000000001
141,1041.0980000000002
142,1099.0395833333334
143,1053.546
144,1037.72
145,984.8281914893614
146,1024.672
147,1125.39
148,1078.6419999999998
149,1004.8480000000001
150,1032.002
151,1086.848
152,921.658
153,987.35
154,1023.822
155,1045.3469387755101
156,1017.9119999999998
157,1023.4824388694824
158,1112.7217391304348
159,1129.692
160,1043.1631944444443
161,1079.734
162,1025.581
163,1114.781632653061
164,1086.0439999999999
165,1041.404
166,1015.8920000000002
167,1024.26
168,994.0800000000002
169,1095.8319999999999
170,1081.5938775510203
171,916.284
172,1060.532
173,1191.9540000000002
174,1202.72
175,1053.482
176,1071.77
177,1195.5659999999998
178,1165.9859999999999
179,1079.558
180,959.8139973958333
181,1013.5150234741783
182,974.8165633802818
183,1022.33
184,1000.89
185,989.948
186,900.9159999999999
187,995.5020000000001
188,1106.4740000000002
189,928.6439999999999
190,1012.1419999999999
191,909.02
192,1025.218
193,1029.328
194,1005.4720000000001
195,889.84
196,1051.3780000000002
197,1033.938
198,1118.934
199,1074.848
200,1020.312
201,961.14
202,982.13
203,852.944
204,968.962
205,961.8920000000002
206,835.7360000000001
207,1037.4520000000002
208,1123.7880000000002
209,1057.9080000000001
210,1008.9779999999998
211,953.7154255319145
212,998.678
213,897.35
214,1022.7243055555555
215,1071.114
216,1071.9543735224586
217,1129.6719999999998
218,1019.9424489795919
219,1042.32
220,1086.162
221,995.9179999999999
222,1068.282
223,890.7560000000002
224,1014.1439443535188
225,1105.518
226,1032.5671600877192
227,1002.4083333333333
228,982.9391666666667
229,1022.0581554878048
230,1124.03
231,970.7670000000002
232,947.538
233,955.5860000000002
234,1087.604
235,1102.6180000000002
236,1029.1580000000001
237,919.9086174242424
238,809.8349999999998
239,1063.8849338700404
240,1178.618
241,974.448
242,1036.1840000000002
243,932.5229999999999
244,924.4230000000002
245,1033.938
246,984.5723404255319
247,873.508
248,1050.0785383903792
249,1065.9802536231882
250,916.47
251,986.908
252,1035.7359999999999
253,948.318
254,1020.3244897959185
255,1048.5516441005805
256,1119.27
257,973.882
258,1047.0320000000002
259,1095.594
260,1058.826
261,1018.266
262,1023.3380000000002
263,962.3899999999999
264,1081.4999999999998
265,970.7040000000001
266,1350.41
267,1368.908
268,1165.168191489362
269,1310.902
270,1480.3299999999997
271,1468.590625
272,1207.904
273,1236.1187499999999
274,1243.17
275,1112.3285714285714
276,1020.3219999999998
277,1028.224
278,1035.122807017544
279,1080.87
280,1072.04
281,836.166
282,943.846
283,1057.978
284,973.8924242424242
285,999.2559999999999
286,1106.840425531915
287,1143.734
288,1074.37
289,990.602
290,947.188
291,1005.5039999999999
292,1053.7197463768116
293,1030.512
294,970.3679824561403
295,941.8700000000001
296,1064.438775510204
297,949.8595697738556
298,942.586
299,1034.112
300,1058.3600000000001
301,1013.434
302,1040.58
303,1097.0639999999999
304,1179.4859999999999
305,1120.0179999999998
306,1049.132
307,1031.512
308,1087.372
309,899.0399999999998
310,901.5240000000001
311,989.7720000000002
312,1061.932
313,985.482
314,992.752
315,1042.85
316,1103.84
317,1043.0838216145833
318,932.0204081632653
319,972.92
320,1040.114
321,987.5059999999999
322,936.954
323,936.0079999999999
324,997.664
325,999.9739999999999
326,933.76
327,830.8490794573644
328,833.6850000000002
329,952.8400000000001
330,878.2339999999998
331,864.0980000000002
332,773.972
333,883.8000000000002
334,942.115322580645
335,910.9625
336,923.3607902735563
337,992.012
338,1000.4659722222223
339,1002.9440000000001
340,929.8052884615385
341,977.584
342,960.3569160997732
343,1008.7541666666666
344,952.321875
345,840.3541860465117
346,1003.9632653061224
347,892.2349999999999
348,1034.8495833333334
349,1147.086
350,1040.2040341718082
351,1108.3507120253164
352,1066.385
353,1135.0438670313488
354,1263.1480000000001
355,1146.3994680851063
356,1018.0680000000002
357,1269.6387755102041
358,1089.7658363636363
359,1250.9902173913044
360,1184.29375
361,1006.7096521739132
362,1058.346
363,1257.906
364,1090.7620000000002
365,1219.354
366,1057.8663865546218
367,1056.1448979591837
368,1134.086
369,987.5367692307691
370,1083.8747252747253
371,1030.9999999999998
372,972.2160000000002
373,919.7460000000001
374,934.298
375,980.1519999999999
376,823.2869999999999
377,932.5120000000002
378,893.1480000000001
379,1020.7520000000001
380,915.4829999999998
381,994.4940000000001
382,948.106709039548
383,985.722
384,995.2231359649122
385,940.0052000000001
386,964.8916666666668
387,878.7208039906103
388,929.5
389,925.625566270464
390,975.6285416666666
391,992.0040000000001
392,876.4
393,941.6083333333335
394,893.8606285714284
395,972.7339999999999
396,845.5709999999999
397,902.7041666666668
398,1007.214
399,1070.95
400,989.8503212396068
401,1048.0857142857144
402,926.4734426229509
403,975.962
404,1224.65
405,1059.781
406,1123.7528555431131
407,1154.7199999999998
408,1107.422
409,1031.973069105691
410,997.3552591463413
411,948.4269102990032
412,1079.8419999999999
413,1054.2481392557022
414,1050.798
415,1023.1759999999999
416,926.6180000000002
417,811.63
418,947.09
419,970.4240709459459
420,1014.26
421,967.2003846153845
422,960.609177927928
423,1007.3480000000001
424,988.38125
425,838.2541176470589
426,951.73
427,956.8740000000001
428,899.956
429,887.8400000000001
430,952.262
431,973.9714285714286
432,863.8842300556586
433,913.448
434,984.566
435,932.4580000000001
436,849.1462899543379
437,916.638
438,1015.682
439,915.6480000000001
440,979.9060000000001
441,953.3779999999999
442,908.934
443,919.5227564102564
444,979.1146683673469
445,993.328
446,926.78
447,833.65
448,872.464
449,1052.184
450,1166.888
451,1003.2685606060605
452,996.2120000000001
453,1075.838
454,898.7669999999999
455,984.4520000000001
456,831.3040000000001
457,930.6163265306122
458,1013.7499999999999
459,905.73
460,995.1620000000001
461,989.92
462,893.2720000000002
463,913.4083333333333
464,1010.7880000000001
465,953.3409984276728
466,926.344
467,944.3439999999999
468,904.25
469,919.7279999999998
470,1016.164
471,1035.6480000000001
472,991.222
473,938.36
474,902.001872659176
475,938.93
476,1032.861224489796
477,1001.2142857142857
478,914.4367559523811
479,934.6554341575617
480,997.558
481,964.7539999999999
482,844.3279999999999
483,765.3367647058825
484,840.24
485,934.66
486,899.382
487,819.602
488,742.2849999999999
489,900.574
490,952.4040000000001
491,858.8720000000001
492,792.528
493,724.0900000000001
494,879.788
495,945.7280000000001
496,896.49
497,883.5489795918368
498,834.4239322033899
499,957.508
500,948.5425957207208
501,963.8940000000002
502,886.9046875
503,876.1650500000001
504,965.2708333333334
505,1076.4940000000001
506,1040.33
507,909.6819999999998
508,844.8302140368344
509,995.5
510,1024.3250238170847
511,1035.89
512,963.7899999999998
513,889.344
514,907.158
515,985.178
516,1010.186
517,837.2080000000001
518,878.710638297872
519,972.5880000000001
520,1048.25
521,930.038
522,835.4780000000001
523,844.5660098522168
524,951.304
525,1016.7280000000001
526,928.156
527,770.83
528,852.714
529,879.5310897435897
530,961.3700000000001
531,891.268221574344
532,889.9459999999998
533,954.186
