TR,pupilSize
1,962.1899999999998
2,957.5319999999999
3,982.7719999999998
4,966.666
5,1048.192
6,1207.966
7,1237.2240000000002
8,1119.6680000000001
9,1087.728
10,1067.2160000000001
11,1014.3080000000002
12,1046.4640000000002
13,1159.0639999999999
14,1113.538
15,1136.4700000000003
16,1285.378
17,1383.04
18,1219.124
19,1134.6027905039568
20,1103.5100000000002
21,1033.292
22,1096.924
23,1155.356
24,1135.162
25,1089.47
26,1134.518
27,1081.536
28,1068.91
29,1114.348
30,1159.232
31,1095.46
32,959.826
33,945.8860000000001
34,920.526
35,853.8679999999999
36,863.054
37,869.7879999999999
38,816.316
39,775.788
40,794.3279999999999
41,832.156
42,797.8000000000002
43,762.0680000000002
44,800.7339999999999
45,749.7280000000001
46,722.4938775510203
47,756.328
48,779.7760000000001
49,777.648
50,897.566
51,1078.0379999999998
52,1004.7660000000001
53,973.2940000000001
54,1020.0840000000003
55,1123.4839999999997
56,1071.768
57,1044.6979999999999
58,1120.1260000000002
59,1081.904
60,1019.2959999999999
61,1033.156
62,1115.1119999999999
63,987.6840000000001
64,941.3579999999998
65,964.7919999999998
66,929.8079999999999
67,894.8599999999999
68,910.5459999999999
69,912.55
70,812.262
71,872.2979999999999
72,963.1460000000001
73,890.9939999999999
74,818.362
75,833.9359999999999
76,834.464
77,795.9960000000001
78,847.8099999999998
79,935.9559999999999
80,930.052
81,938.612
82,1020.472
83,947.31
84,913.1744680851066
85,869.944
86,921.646
87,889.53
88,855.54
89,853.0140000000001
90,823.3937500000001
91,731.3212765957446
92,757.822
93,841.6060000000002
94,780.688
95,782.314
96,842.8660000000001
97,946.1
98,880.65
99,818.822
100,930.778
101,1052.874
102,1138.722
103,1116.306
104,1167.492
105,1225.866
106,1218.386
107,1215.304
108,1346.632
109,1317.26
110,1261.404
111,1275.326
112,1336.98
113,1450.8779999999997
114,1410.2039999999997
115,1190.916
116,1134.3159999999998
117,1108.774
118,1069.562
119,1024.636
120,1127.366
121,1181.836
122,923.1174927113703
123,902.558
124,966.18
125,905.8380000000001
126,868.694
127,844.3893617021274
128,837.9639999999999
129,878.769387755102
130,911.39
131,999.06
132,968.4659999999999
133,894.2360000000002
134,879.2560000000001
135,874.230612244898
136,835.762
137,791.9020000000002
138,866.7819999999999
139,858.084
140,846.378
141,859.7639999999999
142,909.6120000000001
143,887.06
144,828.2539999999999
145,850.9900000000001
146,870.804
147,828.3059999999999
148,914.6820000000001
149,1026.886
150,1112.7620000000002
151,1044.908
152,1015.298
153,1012.278
154,991.6339999999998
155,925.2000000000002
156,908.0039999999999
157,902.192
158,883.5780000000002
159,872.4071379547014
160,831.2499999999999
161,888.6519999999999
162,935.8480000000002
163,889.618
164,919.194
165,918.928
166,870.9860000000001
167,1034.052
168,1058.334
169,905.7080000000001
170,887.668
171,961.3040000000001
172,917.94
173,850.778
174,968.474
175,961.944
176,852.2
177,863.91
178,958.7740000000001
179,850.9020000000002
180,834.9720000000001
181,843.7760000000001
182,844.238
183,795.1959999999999
184,812.1359999999997
185,836.934
186,799.4119999999999
187,764.6139999999999
188,807.8159999999999
189,786.962
190,736.1779999999999
191,747.758
192,834.6859999999999
193,741.6540000000001
194,707.1780000000002
195,834.5040000000001
196,887.8960000000001
197,801.1159999999999
198,729.4220000000001
199,747.1240000000003
200,737.534
201,727.48
202,720.3300000000002
203,719.0158811475409
204,672.3439999999999
205,717.4440000000001
206,725.21
207,709.3408163265307
208,768.3640000000003
209,862.0879999999999
210,874.0439999999998
211,896.13
212,890.7239999999999
213,862.842
214,771.198
215,750.4540000000001
216,754.112
217,742.5799999999998
218,801.0139999999999
219,879.4879999999998
220,921.7760000000001
221,838.08
222,776.1859999999999
223,759.174
224,725.3040000000001
225,685.2639999999999
226,699.1519999999999
227,692.49
228,636.14
229,592.3560000000001
230,627.1306122448979
231,609.2199999999999
232,597.4079999999999
233,627.5980000000001
234,605.302
235,600.136
236,601.756
237,586.594
238,585.9265306122448
239,621.086
240,602.142
241,609.856
242,725.724
243,772.8660000000001
244,728.7083333333334
245,688.212
246,718.9119999999999
247,747.7480000000002
248,801.3880000000001
249,921.222
250,1043.626
251,1200.748
252,1205.564
253,1136.2379999999998
254,1180.3859999999997
255,1246.128
256,1249.6489795918367
257,1171.9510204081635
258,1165.096
259,1094.9460000000001
260,1062.4579999999999
261,1087.806
262,1204.4080000000001
263,1313.7
264,1349.1480000000001
265,1266.122
266,1101.61
267,1103.654
268,1056.208
269,889.0920000000001
270,791.8760000000001
271,856.438
272,967.1060000000001
273,894.7239999999999
274,879.6979999999999
275,958.7080000000001
276,946.4940000000001
277,893.2779999999999
278,845.8280000000002
279,845.5679999999999
280,930.258
281,1089.914
282,1176.724
283,1108.7780000000002
284,1071.8020000000001
285,1092.386
286,1061.228
287,954.7760000000001
288,926.4860000000002
289,1016.206
290,1024.364
291,1009.5520000000001
292,1029.3059999999998
293,1018.7420000000001
294,975.008
295,861.716
296,859.414
297,817.122
298,769.9159999999999
299,793.9179999999999
300,791.5880000000001
301,739.5000000000001
302,712.7399999999999
303,676.012
304,696.8340000000001
305,719.818
306,689.6820000000001
307,632.0755102040816
308,647.6600000000001
309,643.35
310,635.8
311,617.514
312,618.09
313,628.788
314,617.8340000000001
315,592.0459999999999
316,625.812
317,764.4560000000002
318,822.3059999999999
319,860.0645833333333
320,920.8159999999999
321,899.8580000000001
322,873.6959999999999
323,850.234
324,849.7040000000001
325,861.386
326,829.7400000000001
327,832.68
328,806.944
329,756.224
330,748.9599999999998
331,745.18
332,682.65
333,693.8387755102041
334,795.428
335,824.3100000000002
336,856.1080000000001
337,1095.692
338,1116.0265306122449
339,1054.1840000000002
340,1013.57
341,987.406
342,869.136
343,767.5759999999999
344,687.12
345,702.3580000000001
346,759.0740000000001
347,712.22
348,665.132
349,667.4020000000002
350,665.046
351,641.43
352,602.01
353,656.9639999999999
354,686.0099999999999
355,667.7920000000001
356,670.9499999999998
357,694.178
358,642.394
359,697.9960000000001
360,706.982
361,352.4890416666666
362,263.16337977498694
363,657.3049450549449
364,656.688
365,742.654
366,819.9019999999999
367,870.716
368,874.0571428571429
369,899.3559999999999
370,946.572
371,795.882
372,811.1340000000001
373,829.5400000000002
374,860.018
375,821.2460000000002
376,781.6840000000001
377,802.7666666666668
