TR,pupilSize
1,2167.468
2,2274.7180000000003
3,2396.4280000000003
4,2324.18606083943
5,2146.736
6,2220.284
7,2280.764
8,2362.312
9,2443.8379999999997
10,2442.6420000000003
11,2371.09
12,2497.812
13,2510.73
14,2411.1040000000003
15,2532.328
16,2644.612
17,2536.478
18,2569.37773556231
19,1793.79
20,2015.5780000000002
21,2140.07
22,2355.6240000000007
23,2157.1099999999997
24,2148.92
25,2123.79
26,2068.092
27,1637.9061224489794
28,1364.058
29,1735.912
30,1681.116
31,1672.5600000000004
32,1727.8819999999998
33,1804.638
34,1745.65
35,1812.454
36,1653.2579999999998
37,1676.42
38,1649.1021276595748
39,1183.3714285714286
40,1402.8640000000003
41,1694.806
42,1830.6359999999997
43,1929.5179999999998
44,1838.174
45,1823.0080000000003
46,1838.8719999999998
47,1767.7160000000001
48,1843.39
49,1785.352
50,1761.2479999999998
51,1813.562
52,1726.97
53,1931.1519999999998
54,1957.9360000000001
55,1761.2119999999998
56,1746.7959999999998
57,1873.2479999999998
58,1912.5339999999999
59,1931.4019999999998
60,1929.4720000000002
61,1974.3559999999998
62,2123.2180000000003
63,2202.0240000000003
64,2092.3820000000005
65,1812.964
66,1975.31
67,1976.672
68,2097.2639999999997
69,2203.9760000000006
70,1639.6059999999998
71,1417.2160000000001
72,1503.158
73,1613.862
74,1568.4379999999999
75,1586.9940000000001
76,1610.9520000000002
77,1637.1480000000001
78,1473.1553030303032
79,1294.814
80,1558.0139999999997
81,1571.918
82,1546.1660000000002
83,1617.434
84,1642.888
85,1623.004
86,1654.4240000000002
87,1622.836
88,1622.3187499999997
89,1596.6580000000001
90,1565.1250000000002
91,1263.558
92,1636.908
93,1894.6199999999997
94,1893.9719999999998
95,1859.0879999999995
96,1875.84
97,1946.6319999999996
98,1877.124
99,1788.1760000000002
100,1777.552
101,1841.878
102,1442.046
103,1321.652
104,1622.1219999999998
105,1752.3719999999998
106,1826.4720000000002
107,1865.104
108,1888.96
109,1843.0
110,1957.1340000000002
111,1751.494
112,1525.2220000000002
113,1408.9619999999998
114,1741.774
115,1849.49
116,1782.1440000000002
117,1772.92
118,1752.1479166666668
119,1416.4306814251122
120,1525.3079999999995
121,1663.0339999999999
122,1592.35
123,1627.168
124,1614.8020000000001
125,1550.967835884354
126,1309.128
127,1599.91
128,1750.0059999999999
129,1663.057142857143
130,1416.9689999999996
131,1375.112
132,1512.376
133,1712.704
134,1772.0839999999998
135,1804.836
136,1913.224
137,1787.214
138,1878.4359999999997
139,1929.182
140,1865.336
141,1768.5300000000002
142,1671.64
143,1822.7099999999998
144,1852.4119999999998
145,1921.9439999999997
146,1698.5420000000001
147,1764.4419999999998
148,1870.89
149,1881.63
150,1586.3315490130478
151,1298.244
152,1582.0326530612247
153,1645.872
154,1685.142
155,1711.9479999999999
156,1665.3339999999998
157,1549.5147001934236
158,1293.5659999999998
159,1489.906
160,1611.4319999999998
161,1708.6419999999998
162,1701.868
163,1652.598
164,1709.5520000000001
165,1711.8180000000002
166,1593.898
167,1514.806
168,1591.684
169,1730.2659999999998
170,1651.976
171,1521.9019999999996
172,1647.692
173,1784.4799999999998
174,1693.594
175,1770.2939999999999
176,1472.6229999999998
177,1254.9479999999999
178,1524.4159999999997
179,1701.7420000000002
180,1790.976
181,1536.7468085106382
182,1259.106
183,1631.3539999999996
184,1643.774
185,1530.774
186,1649.47
187,1700.146
188,1742.4879999999998
189,1856.514
190,1872.358
191,1811.108
192,1445.73
193,1425.8280000000004
194,1788.2420000000002
195,1758.7380000000003
196,1651.674
197,1662.614
198,1717.3319999999999
199,1692.774
200,1735.256
201,1471.3519999999999
202,1331.524
203,1583.9060000000004
204,1734.3299999999997
205,1431.7508390804599
206,1381.4421609195401
207,1542.342
208,1787.96
209,1600.1500000000003
210,1621.7220000000002
211,1365.4200000000003
212,1327.634
213,1589.33
214,1650.448
215,1705.45
216,1684.026
217,1667.6699999999996
218,1589.884
219,1368.744
220,1245.246
221,1550.5380000000002
222,1594.1879999999999
223,1620.566
224,1596.392
225,1579.95
226,1315.14
227,1249.904
228,1608.104
229,1617.734
230,1525.516
231,1490.5539999999999
232,1474.5999999999997
233,1378.7520000000002
234,1434.64
235,1553.9880000000003
236,1633.7580000000005
237,1575.4579999999999
238,1500.5980000000002
239,1557.9619999999998
240,1644.39
241,1537.3840000000002
242,1608.654
243,1679.024
244,1725.212244897959
245,1773.7780000000005
246,1763.9979999999998
247,1789.688
248,1815.4920000000002
249,1788.66
250,1894.7179999999998
251,1953.438
252,2077.862
253,2121.276
254,2097.88
255,2189.908
256,2223.9919999999997
257,2090.658
258,1701.058
259,1467.704
260,1531.876
261,1453.8980000000001
262,1229.424
263,1029.76
264,1023.7142857142857
265,931.362
266,875.258
267,960.6530612244898
268,897.4060000000002
269,907.83
270,963.26
271,908.0459999999999
272,871.7180000000001
273,966.7620000000002
274,999.0299999999999
275,960.9340000000001
276,1086.5019999999997
277,1178.322
278,883.7
279,985.176
280,1229.326
281,1362.9959999999999
282,1277.852
283,1214.94
284,1252.528
285,1212.928
286,972.196
287,1151.076
288,1406.8980000000001
289,1333.2379999999998
290,1269.166
291,1177.326
292,1162.682
293,1228.344
294,1187.918
295,1105.768
296,1011.11
297,1035.8619999999999
298,1066.922
299,919.2220000000001
300,883.7460000000002
301,826.6570000000002
302,1120.06
303,1261.112
304,1256.222
305,1208.822
306,1212.034
307,1225.0339999999999
308,1212.6060000000002
309,1217.2839999999999
310,1166.38
311,975.4795918367347
312,1057.4679999999998
313,1162.4
314,1100.63
315,885.528
316,927.4580000000001
317,1002.8960000000001
318,1003.058
319,934.018
320,948.4940000000001
321,1008.25
322,1059.3139999999999
323,1047.818
324,968.5666666666666
325,922.4420000000001
326,1088.08
327,1061.89
328,982.1520833333334
329,995.424
330,1023.18
331,976.6340000000001
332,899.2459999999999
333,950.308
334,991.324
335,988.9999999999999
336,929.4060000000001
337,861.044
338,893.8659999999999
339,925.1639999999998
340,917.6489795918367
341,864.2360000000001
342,893.1440000000001
343,898.73
344,893.5360000000001
345,807.2539999999998
346,811.7370080000001
347,928.336992
348,1099.854
349,1159.016
350,1040.84375
351,904.5700000000002
352,989.408
353,1053.54
354,1081.076
355,966.8380000000001
356,935.908
357,1024.17
358,991.722
359,925.5260000000001
360,860.52
361,880.0980000000001
362,941.7499999999999
363,832.1260000000001
364,742.7020000000001
365,748.082
366,841.224
367,877.9240000000001
368,820.48
369,792.546
370,798.416
371,839.0220000000002
372,725.5980000000001
373,836.682
374,972.4839999999999
375,927.2200000000001
376,822.6079999999998
377,803.3119999999998
378,817.154
379,856.252
380,962.5979166666666
381,948.9680000000001
382,979.382
383,999.154
384,938.7200000000001
385,899.5360000000001
386,897.062
387,986.9060000000001
388,976.842
389,889.4499999999998
390,856.5120000000002
391,952.312
392,932.0851063829789
393,758.2397368421053
394,923.8480000000001
395,1117.154
396,1025.942
397,904.6640000000001
398,912.0039999999999
399,976.0059999999999
400,809.7460000000001
401,688.5239999999999
402,933.182
403,919.6899999999998
404,856.05
405,761.11
406,715.5280000000001
407,826.0820000000001
408,905.2159999999999
409,857.77
410,843.056
411,919.3580000000002
412,907.05
413,777.08
414,653.022
415,820.5980000000001
416,928.428
417,845.2159999999999
418,784.0979999999998
419,788.3543516483516
420,867.943866337744
421,837.8690000000001
422,785.804
423,934.7359999999999
424,1070.2400000000002
425,1009.91
426,928.21
427,894.8020000000001
428,1016.7800000000002
429,1013.4399999999998
430,844.7020000000001
431,762.0920000000001
432,866.9319999999998
433,919.2779999999999
434,828.0
435,832.72
436,926.3340000000001
437,955.646
438,823.5240645161289
439,720.923935483871
440,887.9899999999999
441,1051.12
442,948.7079999999999
443,831.4340000000001
444,926.0740000000001
445,968.9559999999999
446,876.55
447,788.5360000000001
448,770.8179999999999
449,825.7857142857141
450,808.342
451,731.2259999999999
452,731.4919999999998
453,829.43
454,901.14
455,902.3
456,879.762
457,908.216
458,876.316
459,843.6160000000001
460,867.78
461,894.798
462,915.956
463,933.4280000000002
464,945.1620000000001
465,983.3020000000001
466,970.038775510204
467,984.1439999999999
468,897.3000000000002
469,833.2439999999999
470,916.446
471,990.1379999999999
472,984.83
473,941.29
474,951.2560000000001
475,866.2469999999998
476,802.2579999999999
477,966.1653061224489
478,871.248
479,848.9240000000001
480,927.0626054852322
481,1003.2276898734177
482,989.716
483,966.556
484,911.9680000000001
485,973.7479999999999
486,940.9040000000001
487,835.186
488,759.742
489,824.9799999999999
490,855.34
491,841.362
492,827.8539999999999
493,870.15
494,962.7180000000001
495,943.9659999999999
496,909.342
497,863.4639999999999
498,920.9600000000002
499,1006.0620000000001
500,909.214
501,879.4259999999999
502,1012.658
503,1060.8100000000002
504,997.0501519756838
505,814.3099999999998
506,1008.638
507,981.6279999999999
508,1012.0900000000001
509,1041.244
510,899.5260000000001
511,942.928
512,983.4551020408164
