TR,pupilSize
1,1754.592
2,1516.3890000000001
3,1860.2020000000002
4,1606.7769999999998
5,1889.156
6,1547.4987184466017
7,1536.2046913894635
8,1667.1315901639346
9,1419.019
10,1487.7750000000003
11,1843.222566162571
12,1675.5738913043479
13,1431.3550000000002
14,1470.228
15,1209.152
16,1412.839
17,1219.6818648648648
18,1434.6914893617022
19,1602.13
20,1433.44
21,1522.9626352941182
22,1810.7473647058823
23,1817.8619999999999
24,1718.148
25,1752.6204081632654
26,1289.412
27,1708.1700000000003
28,1599.656
29,1242.22
30,1434.6599999999996
31,1260.278
32,1431.618
33,1579.024
34,1187.558
35,1005.801
36,1502.5179999999998
37,1253.838
38,998.6570000000002
39,1455.1102040816324
40,1066.866
41,1239.382
42,1309.4130508474577
43,1167.2380400616335
44,1028.319909090909
45,1220.072947368421
46,1299.7790526315791
47,969.207
48,1401.2679999999998
49,1124.738
50,1117.7763305785124
51,1152.9606694214876
52,817.3580000000002
53,1431.0326530612242
54,1342.764
55,1107.977
56,1182.618
57,1543.0339999999997
58,1463.7420000000002
59,1055.067
60,1185.349
61,932.026
62,1312.665306122449
63,1479.5938775510206
64,1243.706
65,1101.944
66,1387.3359999999998
67,970.7309999999999
68,1443.2375
69,1305.42
70,806.9119999999999
71,1241.8062499999999
72,1247.2680851063828
73,1185.2543703703702
74,1410.6500000000003
75,1361.3099999999997
76,1543.902
77,1347.5079999999998
78,1531.338
79,1494.4459999999997
80,1236.86
81,1331.6819999999998
82,1357.2204081632653
83,1171.699
84,1431.1775510204081
85,1379.5839999999998
86,1327.1252350321622
87,1211.560558139535
88,1348.612
89,1394.5639999999996
90,1124.841
91,1249.0529999999999
92,1148.5745964912282
93,1414.856403508772
94,1293.3852
95,1226.2868
96,1378.7795918367344
97,1195.392
98,1423.874
99,1041.644
100,1055.0590000000002
101,1099.92
102,1410.9812499999998
103,989.5159337748344
104,972.104
105,1408.4510204081635
106,1123.549
107,1470.5279999999998
108,1261.7820000000002
109,1436.148
110,1212.3843068261788
111,1180.0227904509284
112,945.4876923076922
113,982.6760000000002
114,1230.7755102040817
115,1000.047
116,1487.092
117,986.52
118,1539.8080000000002
119,1206.764
120,1534.7320000000002
121,1192.522
122,1153.1629999999998
123,1377.3520833333332
124,778.688
125,816.706
126,1250.284
127,691.7060000000002
128,1320.7244897959183
129,968.636
130,1454.256
131,842.6
132,1335.496
133,867.3580000000002
134,1219.5400000000002
135,1161.312
136,1016.2750000000001
137,1277.902
138,1202.8200000000002
139,933.9020000000002
140,910.2020000000001
141,1073.5320000000002
142,1021.7139999999999
143,708.3309999999999
144,912.6779999999999
145,1431.9459999999997
146,1626.5892222222224
147,1725.0797777777777
148,1546.104
149,1595.10612244898
150,1505.5415454545455
151,1742.4459658731835
152,1517.4661557914826
153,1628.4259036144576
154,1725.234
