TR,pupilSize
1,1495.274
2,1432.0526041666665
3,1451.862
4,1753.8672619047618
5,1628.2020408163266
6,1709.892
7,1828.2619999999995
8,1693.4160638297874
9,1557.4949404761908
10,1761.4890625
11,1648.9279999999999
12,1713.3559999999998
13,1597.37
14,1597.6180000000002
15,1527.5768579129763
16,1412.0360000000003
17,1498.8480000000002
18,1594.5640000000003
19,1764.848
20,1696.2300000000002
21,1670.77
22,1707.4100000000003
23,1799.444
24,1858.37
25,1677.184
26,1400.986
27,1361.6188541666666
28,1445.128
29,1531.8180000000002
30,1355.276
31,1447.4119999999998
32,1616.4080000000001
33,1587.078
34,1541.4479999999999
35,1484.2359999999999
36,1581.286
37,1553.0
38,1659.884
39,1718.4419999999998
40,1692.872
41,1650.112
42,1587.1160000000004
43,1667.7959999999998
44,1432.2379999999998
45,1470.198
46,1605.408
47,1523.6119999999999
48,1343.5159999999998
49,1537.532
50,1717.3759999999997
51,1433.672
52,1207.691489361702
53,1168.8880000000001
54,1320.764
55,1344.0
56,1325.5320000000002
57,1560.9560000000001
58,1708.1999999999998
59,1589.868
60,1703.9439999999997
61,1615.25
62,1383.136
63,1426.7150183150184
64,1613.9311713836478
65,1659.08
66,1594.1870000000001
67,1470.192
68,1499.9968253968252
69,1364.8198317307692
70,1803.0120000000002
71,1792.7359999999999
72,1495.464
73,1606.5555989583333
74,1599.224
75,1681.0920289855069
76,1482.486
77,1588.3279999999995
78,1481.2879999999998
79,1254.326
80,1404.8439999999996
81,1560.326
82,1418.3680000000002
83,1336.306
84,1328.4485795454545
85,1187.4083333333333
86,1237.4920000000002
87,1251.256
88,1408.624
89,1420.2419999999997
90,1489.078
91,1308.6270000000002
92,1320.5339999999999
93,1429.308
94,1411.4079999999997
95,1309.4820000000002
96,1181.728260869565
97,1031.5982978723403
98,1175.6497021276598
99,1516.0489999999998
100,1459.4
101,1612.0539999999999
102,1301.5480000000002
103,1285.3360000000002
104,1508.1380000000001
105,1341.8280000000002
106,1367.4520000000002
107,1430.152
108,1388.1460000000004
109,1170.1714285714286
110,1226.326
111,1298.56
112,1222.6505928853755
113,909.8108181818181
114,1383.5459999999998
115,1561.9119999999998
116,1556.636
117,1321.356
118,1285.5439999999999
119,1395.858
120,1291.9477011494253
121,1215.436
122,1343.4479999999999
123,1449.688
124,1422.6219999999998
125,1326.6259999999997
126,1443.0200000000002
127,1463.366
128,1295.4419999999998
129,999.5089999999999
130,1169.2900000000002
131,1364.374
132,1269.3999999999999
133,1074.591
134,1518.306
135,1583.83
136,1335.7720000000002
137,1488.348
138,1535.1448863636363
139,1262.742
140,1479.7699999999998
141,1505.003
142,1419.7559999999999
143,1677.226
144,1776.072
145,1662.1180000000002
146,1479.34
147,1368.124
148,1406.2980000000002
149,1532.484
150,1361.28
151,1350.9340000000002
152,1387.2740000000003
153,1303.9260000000002
154,1328.84
155,1344.828
156,1268.1680000000001
157,1372.464
158,1144.046
159,1246.2799999999997
160,1562.3239999999998
161,1953.588
162,2086.598
163,1698.542
164,1511.8521395655036
165,1516.5559999999998
166,1559.97
167,1523.4100000000003
168,1481.8419999999999
169,1407.116
170,1368.989
171,1281.2160000000001
172,1408.3400000000004
173,1415.1740000000002
174,1315.5934782608697
175,1256.402
176,1605.338
177,1747.9259999999997
178,1690.9660000000001
179,1429.344
180,1506.9879999999998
181,1803.75
182,1872.5520000000001
183,1539.1809999999998
184,1546.318
185,1506.0787755102042
186,1320.218367346939
187,1191.6190000000001
188,1127.074
189,1250.5845481049562
190,1179.2659999999998
191,1336.58
192,1353.276
193,1152.8244444444445
194,1117.5815555555555
195,1259.76
196,1316.106
197,1225.298
198,1074.204
199,1309.1799999999998
200,1292.322
201,1126.4840000000002
202,935.1479999999999
203,1059.0659999999998
204,1305.086
205,1430.1420000000005
206,1499.4879999999998
207,1476.942
208,1367.736
209,1386.6960000000001
210,1343.754
211,1287.248
212,1010.5139999999999
213,1137.904
214,1309.4899999999998
215,1189.3560000000002
216,1177.128
217,1162.35
218,1169.638
219,1105.388
220,1054.9959999999999
221,1241.9180000000001
222,1263.67
223,1192.4240000000002
224,1310.364
225,1454.1959999999997
226,1076.014
227,1268.394
228,1504.25
229,1747.026
230,1661.5360000000003
231,1662.664
232,1627.0853061224489
233,1327.3471088435374
234,1575.8599999999997
235,1764.182
236,1649.3859999999997
237,1574.0149999999996
238,1422.6659999999997
239,1456.708
240,1408.5370000000005
241,1380.01
242,1776.476
243,1826.8050925925927
244,1689.9699999999998
245,2002.6205729166668
246,1916.5970000000002
247,2001.7958333333333
248,1861.5539999999999
249,1914.2179999999996
250,1681.7990000000002
251,1468.1040000000003
252,1520.45
253,1412.682
254,1506.8100000000004
255,1384.358
256,1491.0639999999999
257,1582.4440000000002
258,1505.7579999999998
259,1445.024
260,1424.0940000000003
261,1545.27
262,1695.076
263,1505.734
264,1412.2177394034536
265,1438.6860000000001
266,1654.134
267,1552.2619999999997
268,1495.678
269,1574.4920000000004
270,1562.6200000000003
271,1513.0297887576082
272,1427.28
273,1487.608
274,1546.868
275,1545.51
276,1618.014
277,1607.3419999999999
278,1446.5280000000005
279,1255.1755102040818
280,1171.801068999028
281,1384.1670000000001
282,1313.6660000000002
283,1510.9819999999997
284,1410.6959999999997
285,1222.0602968460112
286,1388.7820000000002
287,1503.802
288,1276.7969999999998
289,1479.5059999999999
290,1403.589361702128
291,1364.1935624999999
292,1454.014285714286
293,1380.358
294,1397.8059999999998
295,1356.8110000000001
296,1311.4140000000002
297,1353.454
298,1215.264
299,1152.958
300,1253.8980000000001
301,1369.79
302,1409.24
303,1209.662
304,1444.0209999999997
305,1973.1440000000002
306,2094.412207792208
307,1894.5877551020405
308,1764.618
309,1549.6609999999998
310,1515.69
311,1640.5559999999998
312,1751.108
313,1851.8500000000004
314,1831.3640000000003
315,1739.7489583333333
316,1521.0159999999998
317,1574.184
318,1503.4134206219312
319,1291.404
320,1293.4357550596783
321,1383.3340000000003
322,1429.6100000000004
323,1388.1901039661147
324,1365.875
325,1722.1
326,1851.7060000000001
327,1834.5379999999998
328,1947.9400000000003
329,1616.254
330,1455.174
331,1499.4800000000002
332,1602.5920000000003
333,1514.984
334,1664.396
335,1529.5119999999997
336,1534.484
337,1522.7979999999998
338,1516.7720000000002
339,1376.4980000000003
340,1321.3746360582306
341,1029.7279999999998
342,1160.7640000000001
343,1262.1680000000001
344,728.3380000000001
345,907.9560000000002
346,1232.242
347,1460.076
348,1331.2500000000002
349,1381.6180000000004
350,1354.5439999999999
351,1256.816
352,1251.1100000000001
353,1275.338
354,1226.624
355,1337.838
356,1420.4020000000005
357,1455.73
358,1390.558
359,1017.9172
360,1343.1765957446808
361,1459.8755102040816
362,1520.51333649739
363,1468.7547480620153
364,1609.651020408163
365,1453.9471428571426
366,1411.25
367,1574.5240000000003
368,1606.4000000000003
369,1552.1220000000003
370,1652.0280000000002
371,1689.356
372,1663.9660000000001
373,1573.26
374,1507.3340000000003
375,1450.2179999999998
376,1318.7785326086957
377,1369.0639999999999
378,1377.04
379,1252.038
380,1215.472
381,1351.082
382,1626.25
383,1632.996
384,1598.382
385,1441.322
386,1353.688
387,1445.2160000000001
388,1347.858
389,1298.7920000000001
390,1266.0559999999998
391,1125.8000000000002
392,938.0559999999999
393,1043.9700000000003
394,1183.906
395,1327.7579999999998
396,1242.8339999999998
397,1049.848
398,1514.9499999999998
399,1683.816
400,1385.1580000000001
401,1331.1580000000001
402,1593.3120000000001
403,1576.898
404,1339.55
405,1302.468
406,1318.726
407,1236.7979591836734
408,1180.5059999999999
409,1383.526
410,1311.23
411,1133.7
412,1352.312
413,1373.1359999999997
414,1235.554
415,1227.9959999999999
416,1257.738
417,1105.742
418,1053.2920000000001
419,1088.1580000000001
420,1144.0919999999999
421,1334.2940000000003
422,1330.9673469387753
423,1297.628
424,1202.483
425,1153.13
426,1182.769387755102
427,1184.1940000000002
428,940.8969999999999
429,1076.6019999999999
430,1273.41
431,1350.7580000000003
432,1332.856
433,1390.986
434,1222.251
435,1240.782
436,1388.3641522988503
437,1384.448
438,1415.7400000000002
439,1517.7434294871794
440,1606.7859999999998
441,1685.0320000000002
442,1687.534693877551
443,1387.2420000000002
444,1598.418
445,1666.1760000000002
446,1569.5180000000003
447,1461.2356770833333
448,1428.9920000000002
449,1386.3340000000003
450,1351.406
451,1523.948
452,1464.614
453,1401.9729166666668
454,1495.5340000000003
455,1610.1480000000001
456,1556.52
457,1450.047466216216
458,1255.6142857142859
459,1172.152
460,1122.812
461,1099.12
462,1151.5539999999999
463,1143.12
