time_in_ms,pupilSize_clean
0.0,2004.6
20.0,2006.2
40.0,2005.5
60.0,2005.8
80.0,2007.4
100.0,2008.5
120.0,2010.2
140.0,2008.1
160.0,2010.7
180.0,2011.3
200.0,2011.7
220.0,2014.1
240.0,2016.1
260.0,2025.5
280.0,2024.7
300.0,2024.7
320.0,2028.7
340.0,2032.7
360.0,2036.2
380.0,2041.2
400.0,2044.2
420.0,2050.4
440.0,2053.5
460.0,2057.2
480.0,2057.8
500.0,2059.7
520.0,2060.5
540.0,2060.2
560.0,2061.3
580.0,2058.7
600.0,2058.8
620.0,2055.9
640.0,2056.5
660.0,2052.2
680.0,2050.9
700.0,2048.8
720.0,2047.0
740.0,2041.1
760.0,2040.6
780.0,2034.0
800.0,2033.0
820.0,2029.2
840.0,2025.1
860.0,2024.0
880.0,2018.4
900.0,2014.9
920.0,2014.5
940.0,2013.2
960.0,2008.5
980.0,2006.3
1000.0,2005.3
1020.0,2006.1
1040.0,2008.0
1060.0,2008.8
1080.0,2009.4
1100.0,2012.9
1120.0,2017.5
1140.0,2019.9
1160.0,2028.3
1180.0,2034.9
1200.0,2041.3
1220.0,2049.5
1240.0,2060.5
1260.0,2067.7
1280.0,2077.9
1300.0,2089.0
1320.0,2097.8
1340.0,2110.4
1360.0,2124.3
1380.0,2137.1
1400.0,2149.2
1420.0,2162.3
1440.0,2177.8
1460.0,2192.8
1480.0,2206.5
1500.0,2218.9
1520.0,2233.1
1540.0,2248.4
1560.0,2261.1
1580.0,2271.5
1600.0,2284.0
1620.0,2294.1
1640.0,2301.5
1660.0,2315.2
1680.0,2322.8
1700.0,2328.8
1720.0,2333.0
1740.0,2338.0
1760.0,2341.3
1780.0,2342.6
1800.0,2342.8
1820.0,2345.1
1840.0,2345.5
1860.0,2348.2
1880.0,2349.0
1900.0,2351.7
1920.0,2354.0
1940.0,2357.3
1960.0,2360.1
1980.0,2362.8
2000.0,2365.6
2020.0,2368.3
2040.0,2374.1
2060.0,2378.9
2080.0,2385.7
2100.0,2390.3
2120.0,2393.1
2140.0,2398.5
2160.0,2402.9
2180.0,2406.5
2200.0,2410.0
2220.0,2414.9
2240.0,2414.6
2260.0,2419.3
2280.0,2423.1
2300.0,2425.5
2320.0,2425.8
2340.0,2431.9
2360.0,2433.1
2380.0,2432.9
2400.0,2436.8
2420.0,2440.4
2440.0,2441.7
2460.0,2445.1
2480.0,2444.6
2500.0,2448.5
2520.0,2450.1
2540.0,2451.8
2560.0,2451.3
2580.0,2455.4
2600.0,2458.4
2620.0,2457.4
2640.0,2462.2
2660.0,2464.3
2680.0,2466.7
2700.0,2468.4
2720.0,2474.9
2740.0,2477.2
2760.0,2483.1
2780.0,2488.2
2800.0,2492.7
2820.0,2495.5
2840.0,2500.3
2860.0,2503.5
2880.0,2510.3
2900.0,2513.2
2920.0,2519.2
2940.0,2523.9
2960.0,2526.8
2980.0,2527.5
3000.0,2531.3
3020.0,2536.4
3040.0,2537.9
3060.0,2542.4
3080.0,2547.1
3100.0,2549.5
3120.0,2551.5
3140.0,2552.1
3160.0,2557.7
3180.0,2562.1
3200.0,2562.7
3220.0,2565.0
3240.0,2571.5
3260.0,2574.1
3280.0,2582.4
3300.0,2589.4
3320.0,2598.9
3340.0,2607.4
3360.0,2617.0
3380.0,2627.5
3400.0,2636.7
3420.0,2650.5
3440.0,2665.5
3460.0,2676.4
3480.0,2694.6
3500.0,2704.5
3520.0,2715.0
