time_in_ms,pupilSize_clean
0,1624.2
20,1774.7
40,1809.8
60,1835.1
80,1853.7
100,1867.7
120,1877.5
140,1892.3
160,1908.2
180,1923.6
200,1938.0
220,1952.1
240,1955.6
260,1961.4
280,1970.8
300,1966.7
320,1954.9
340,1945.5
360,1929.5
380,1914.7
400,1906.2
420,1893.1
440,1872.0
460,1845.1
480,1824.4
500,1803.3
520,1782.2
540,1763.7
560,1744.9
580,1722.2
600,1706.0
620,1689.5
640,1674.3
660,1658.3
680,1643.5
700,1635.4
720,1625.4
740,1616.2
760,1601.8
780,1595.4
800,1586.5
820,1575.5
840,1561.1
860,1555.1
880,1539.5
900,1521.5
920,1498.2
940,1489.1
960,1476.9
980,1467.3
1000,1463.6
1020,1465.8
1040,1468.6
1060,1473.7
1080,1481.8
1100,1495.4
1120,1506.1
1140,1520.9
1160,1536.8
1180,1555.1
1200,1574.5
1220,1603.2
1240,1641.6
1260,1643.3
1280,1310.0
1300,242.7
1320,282.125
1340,329.625
1360,377.125
1380,424.625
1400,472.125
1420,519.625
1440,571.5
1460,1099.4
1480,1450.5
1500,1690.5
1520,1784.3
1540,1794.3
1560,1805.1
1580,1823.7
1600,1839.5
1620,1854.5
1640,1867.2
1660,1878.6
1680,1889.6
1700,1897.7
1720,1913.4
1740,1918.4
1760,1931.5
1780,1941.7
1800,1948.3
1820,1954.1
1840,1956.5
1860,1957.0
1880,1950.9
1900,1949.5
1920,1949.6
1940,1942.7
1960,1938.1
1980,1933.0
2000,1923.9
2020,1917.1
2040,1912.6
2060,1910.7
2080,1909.4
2100,1907.5
2120,1902.8
2140,1898.8
2160,1902.0
2180,1899.1
2200,1898.0
2220,1888.2
2240,1888.3
2260,1890.0
2280,1887.5
2300,1888.7
2320,1893.5
2340,1893.6
2360,1895.6
2380,1894.8
2400,1898.1
2420,1887.6
2440,1885.3
2460,1879.9
2480,1876.7
2500,1875.3
2520,1869.4
2540,1851.4
2560,1842.4
2580,1836.5
