time_in_ms,pupilSize_clean
0,1595.6
20,1601.8
40,1597.1
60,1589.4
80,1594.3
100,1593.1
120,1598.1
140,1595.7
160,1595.4
180,1596.8
200,1605.0
220,1603.7
240,1616.1
260,1613.3
280,1615.9
300,1620.3
320,1617.8
340,1619.5
360,1615.8
380,1606.6
400,1600.1
420,1590.9
440,1583.0
460,1575.5
480,1572.3
500,1568.7
520,1565.1
540,1553.7
560,1549.2
580,1546.9
600,1538.0
620,1529.6
640,1526.6
660,1520.4
680,1512.1
700,1506.1
720,1501.1
740,1495.9
760,1488.1
780,1476.3
800,1471.6
820,1464.8
840,1459.8
860,1452.5
880,1447.7
900,1441.9
920,1433.5
940,1430.8
960,1424.0
980,1419.9
1000,1418.6
1020,1414.5
1040,1414.6
1060,1412.2
1080,1415.8
1100,1411.2
1120,1420.4
1140,496.5857142857143
1160,385.71428571428567
1180,568.5714285714286
1200,751.4285714285713
1220,934.2857142857143
1240,1117.142857142857
1260,1300.0714285714284
1280,1469.1
1300,1512.8
1320,1467.4
1340,1480.3
1360,1493.7
1380,1498.9
1400,1503.6
1420,1512.0
1440,1518.1
1460,1530.0
1480,1530.5
1500,1539.4
1520,1549.1
1540,1555.8
1560,1566.5
1580,1576.3
1600,1576.0
1620,1585.3
1640,1591.0
1660,1598.5
1680,1597.4
1700,1597.0
1720,1598.9
1740,1590.4
1760,1591.8
1780,1582.4
1800,1579.2
1820,1566.2
1840,1556.6
1860,1545.0
1880,1533.6
1900,1527.1
1920,1518.2
1940,1514.9
1960,1506.9
1980,1503.8
2000,1500.5
2020,1495.1
2040,1496.9
2060,1495.0
2080,1491.4
2100,1490.1
2120,1488.4
2140,1485.0
2160,1482.0
2180,1469.8
2200,1463.1
2220,1457.9
2240,1447.3
2260,1443.2
2280,1436.5
2300,1429.9
2320,1426.9
2340,1423.9
2360,1421.0
2380,1420.3
2400,1424.6
2420,1424.7
2440,1426.3
2460,1433.1
2480,1433.4
2500,1436.2
2520,1444.2
2540,1450.3
2560,1456.0
2580,1461.5
2600,1475.6
2620,1482.2
2640,1490.4
2660,1496.4
2680,1504.1
2700,1510.2
2720,1509.2
2740,1516.2
2760,1522.5
2780,1523.8
2800,1532.7
2820,1534.7
2840,1540.2
2860,1546.2
2880,1545.0
2900,1543.8
2920,1547.8
2940,1550.2
2960,1550.3
2980,1559.2
3000,1560.7
3020,1562.2
3040,1570.6
3060,1571.1
3080,1576.0
3100,1581.0
3120,1579.9
3140,1579.1
3160,1586.0
3180,1593.4
3200,1600.7
3220,1605.0
3240,1607.1
3260,1608.9
3280,1611.2
3300,1618.1
3320,1618.6
3340,1628.8
3360,1629.3
3380,1627.5
