time_in_ms,pupilSize_clean
0.0,992.2
20.0,990.4
40.0,990.8
60.0,989.0
80.0,988.2
100.0,990.1
120.0,988.7
140.0,988.6
160.0,988.5
180.0,988.0
200.0,986.7
220.0,978.8
240.0,963.3
260.0,969.3
280.0,966.1
300.0,966.9
320.0,966.8
340.0,966.5
360.0,966.2
380.0,965.3
400.0,962.7
420.0,961.8
440.0,961.3
460.0,961.4
480.0,961.2
500.0,960.6
520.0,958.3
540.0,956.2
560.0,956.1
580.0,951.1
600.0,950.9
620.0,951.9
640.0,949.2
660.0,950.4
680.0,949.2
700.0,948.8
720.0,946.7
740.0,946.6
760.0,944.0
780.0,943.4
800.0,941.1
820.0,940.5
840.0,943.7
860.0,943.3
880.0,943.7
900.0,944.8
920.0,945.9
940.0,947.6
960.0,948.5
980.0,948.2
1000.0,949.5
1020.0,950.6
1040.0,954.1
1060.0,954.1
1080.0,952.7
1100.0,950.3
1120.0,951.9
1140.0,952.0
1160.0,951.1
1180.0,949.9
1200.0,951.2
1220.0,952.7
1240.0,950.0
1260.0,949.6
1280.0,953.9
1300.0,955.1
1320.0,952.9
1340.0,953.8
1360.0,954.7
1380.0,955.4
1400.0,954.5
1420.0,954.6
1440.0,953.5
1460.0,955.1
1480.0,954.4
1500.0,957.2
1520.0,957.1
1540.0,958.6
1560.0,958.6
1580.0,957.6
1600.0,957.2
1620.0,955.9
1640.0,956.9
1660.0,956.0
1680.0,958.5
1700.0,958.7
1720.0,958.2
1740.0,961.1
1760.0,959.4
1780.0,961.3
1800.0,965.0
1820.0,966.6
1840.0,967.5
1860.0,966.0
1880.0,964.9
1900.0,967.4
1920.0,970.2
1940.0,970.2
1960.0,972.4
1980.0,976.5
2000.0,976.0
2020.0,979.1
2040.0,981.4
2060.0,981.9
2080.0,985.7
2100.0,989.1
2120.0,992.8
2140.0,992.5
2160.0,997.1
2180.0,997.6
2200.0,1001.8
2220.0,1000.0
2240.0,1002.1
2260.0,1003.5
2280.0,1004.8
2300.0,1004.3
2320.0,1003.0
2340.0,1002.8
2360.0,1002.1
2380.0,999.2
2400.0,998.8
2420.0,997.3
2440.0,995.2
2460.0,994.6
2480.0,992.9
2500.0,989.8
2520.0,988.2
2540.0,986.7
2560.0,985.4
2580.0,982.5
2600.0,979.6
2620.0,978.6
2640.0,974.0
2660.0,972.9
2680.0,970.5
2700.0,969.8
2720.0,969.7
2740.0,965.3
2760.0,964.0
2780.0,962.2
2800.0,961.9
2820.0,966.0
2840.0,964.4
2860.0,964.6
2880.0,959.6
2900.0,962.6
2920.0,960.8
2940.0,962.7
2960.0,961.1
2980.0,960.1
3000.0,961.8
3020.0,963.3
3040.0,963.5
3060.0,964.9
3080.0,965.3
3100.0,966.1
3120.0,967.0
3140.0,967.5
3160.0,969.9
3180.0,970.6
3200.0,969.9
3220.0,970.9
3240.0,971.6
3260.0,972.1
3280.0,971.1
3300.0,973.6
3320.0,973.0
3340.0,973.7
3360.0,976.2
3380.0,974.6
3400.0,976.5
3420.0,976.0
3440.0,975.4
3460.0,976.9
3480.0,976.8
3500.0,974.1
3520.0,975.1
3540.0,977.4
3560.0,974.5
3580.0,974.3
3600.0,974.6
3620.0,971.0
3640.0,969.6
3660.0,969.2
3680.0,966.7
3700.0,961.9
3720.0,961.2
3740.0,959.2
3760.0,955.8
3780.0,954.1
3800.0,953.1
3820.0,951.8
3840.0,950.8
3860.0,951.4
3880.0,953.6
3900.0,952.5
3920.0,955.2
3940.0,957.2
3960.0,959.8
3980.0,961.0
4000.0,961.3
4020.0,967.0
4040.0,970.8
4060.0,971.9
4080.0,977.6
4100.0,979.2
4120.0,984.8
4140.0,986.0
4160.0,989.8
4180.0,989.8
4200.0,990.9
4220.0,994.3
4240.0,996.4
4260.0,1000.6
4280.0,1002.3
4300.0,1007.5
4320.0,1008.1
4340.0,1011.6
4360.0,1015.5
4380.0,1020.4
4400.0,1020.8
4420.0,1025.8
4440.0,1029.4
4460.0,1031.7
4480.0,1038.6
4500.0,1044.0
4520.0,1049.0
4540.0,1053.6
4560.0,1059.6
4580.0,1064.0
4600.0,1067.5
4620.0,1075.4
4640.0,1080.5
4660.0,1084.9
4680.0,1090.4
4700.0,1095.9
4720.0,1100.6
4740.0,1105.4
4760.0,1109.6
4780.0,1111.4
4800.0,1115.2
4820.0,1117.5
4840.0,1120.0
4860.0,1120.2
4880.0,1122.9
4900.0,1125.7
4920.0,1128.4
4940.0,1129.0
4960.0,1132.7
4980.0,1134.1
5000.0,1140.7
5020.0,1142.3
5040.0,1143.2
5060.0,1146.3
5080.0,1151.2
5100.0,1151.1
5120.0,1155.2
5140.0,1160.2
5160.0,1160.0
5180.0,1164.2
5200.0,1165.2
5220.0,1169.7
5240.0,1174.7
5260.0,1180.3
5280.0,1181.4
5300.0,1183.6
5320.0,1189.1
5340.0,1189.5
5360.0,1194.5
5380.0,1198.7
5400.0,1203.4
5420.0,1206.5
5440.0,1208.3
5460.0,1208.8
5480.0,1212.1
5500.0,1216.4
5520.0,1216.8
5540.0,1219.2
5560.0,1217.6
5580.0,1219.9
5600.0,1220.0
5620.0,1221.6
5640.0,1227.1
5660.0,1232.0
5680.0,1236.5
5700.0,1236.7
5720.0,1238.4
5740.0,1245.2
5760.0,1244.4
5780.0,1245.8
5800.0,1251.4
5820.0,1254.6
5840.0,1256.3
5860.0,1257.6
5880.0,1259.7
5900.0,1259.7
5920.0,1258.0
5940.0,1260.3
5960.0,1260.5
5980.0,1262.4
6000.0,1258.7
6020.0,1260.8
6040.0,1263.7
6060.0,1262.3
6080.0,1261.8
6100.0,1267.2
6120.0,1262.1
6140.0,1264.0
6160.0,1265.0
6180.0,1262.6
6200.0,1263.5
6220.0,1263.7
6240.0,1263.0
6260.0,1262.2
6280.0,1262.9
6300.0,1259.2
6320.0,1257.9
6340.0,1257.5
6360.0,1255.2
6380.0,1253.0
6400.0,1252.4
6420.0,1251.0
6440.0,1246.1
6460.0,1243.0
6480.0,1241.7
6500.0,1239.0
6520.0,1233.6
6540.0,1232.0
6560.0,1232.4
6580.0,1228.5
6600.0,1230.7
6620.0,1226.0
6640.0,1220.9
6660.0,1219.6
6680.0,1221.2
6700.0,1221.6
6720.0,1214.1
6740.0,1215.1
6760.0,1210.6
6780.0,1210.9
6800.0,1209.8
6820.0,1208.0
6840.0,1209.6
6860.0,1208.5
6880.0,1205.2
6900.0,1204.5
6920.0,1204.9
6940.0,1201.3
6960.0,1199.4
6980.0,1193.3
7000.0,1190.4
7020.0,1187.0
7040.0,1186.9
7060.0,1180.9
7080.0,1177.7
7100.0,1173.8
7120.0,1169.9
7140.0,1161.9
7160.0,1161.0
7180.0,1155.0
7200.0,1153.2
7220.0,1151.2
7240.0,1146.2
7260.0,1141.7
7280.0,1138.0
7300.0,1134.9
7320.0,1135.5
7340.0,1131.7
7360.0,1129.8
7380.0,1130.1
7400.0,1128.0
7420.0,1124.7
7440.0,1122.3
7460.0,1121.2
7480.0,1119.6
7500.0,1118.9
7520.0,1114.6
7540.0,1111.8
7560.0,1107.6
7580.0,1105.4
7600.0,1103.7
7620.0,1100.8
7640.0,1098.4
7660.0,1097.7
7680.0,1094.9
7700.0,1092.1
7720.0,1087.6
7740.0,1083.2
7760.0,1079.3
7780.0,1079.9
7800.0,1076.4
7820.0,1074.9
7840.0,1076.4
7860.0,1075.3
7880.0,1074.4
7900.0,1074.2
7920.0,1076.0
7940.0,1073.6
7960.0,1075.3
7980.0,1078.4
8000.0,1080.0
8020.0,1077.2
8040.0,1076.8
8060.0,1079.0
8080.0,1081.6
8100.0,1082.4
8120.0,1086.2
8140.0,1084.5
8160.0,1088.1
8180.0,1090.1
8200.0,1091.7
8220.0,1093.2
8240.0,1096.0
8260.0,1095.6
8280.0,1094.2
8300.0,1095.3
8320.0,1093.2
8340.0,1091.0
8360.0,1092.9
8380.0,1090.6
8400.0,1090.8
8420.0,1090.2
8440.0,1088.7
8460.0,1090.5
8480.0,1089.2
8500.0,1091.8
8520.0,1089.1
8540.0,1088.5
8560.0,1083.7
8580.0,1086.2
8600.0,1084.9
8620.0,1083.3
8640.0,1084.5
8660.0,1083.0
8680.0,1084.2
8700.0,1085.9
8720.0,1084.7
8740.0,1086.1
8760.0,1089.6
8780.0,1089.3
8800.0,1088.1
8820.0,1089.4
8840.0,1089.3
8860.0,1091.0
8880.0,1088.0
8900.0,1087.0
8920.0,1086.9
8940.0,1087.1
8960.0,1088.0
8980.0,1087.8
9000.0,1086.9
9020.0,1090.6
9040.0,1092.7
9060.0,1091.4
9080.0,1092.0
9100.0,1091.5
9120.0,1092.7
9140.0,1092.7
9160.0,1092.5
9180.0,1092.7
9200.0,1093.3
9220.0,1094.4
9240.0,1093.0
9260.0,1091.4
9280.0,1089.9
9300.0,1090.9
9320.0,1090.0
9340.0,1085.6
9360.0,1083.6
9380.0,1084.2
9400.0,1083.1
9420.0,1079.3
9440.0,1072.7
9460.0,1070.9
9480.0,1067.4
9500.0,1070.4
9520.0,1064.1
9540.0,1059.8
9560.0,1061.1
9580.0,1058.4
9600.0,1055.9
9620.0,1057.0
9640.0,1054.7
9660.0,1051.8
9680.0,1050.0
9700.0,1048.1
9720.0,1050.5
9740.0,1049.1
9760.0,1045.4
9780.0,1045.1
9800.0,1042.8
9820.0,1038.3
9840.0,1038.9
9860.0,1036.2
9880.0,1037.2
9900.0,1034.3
9920.0,1034.3
9940.0,1032.0
9960.0,1030.3
9980.0,1029.7
10000.0,1028.7
10020.0,1027.1
10040.0,1023.5
10060.0,1021.4
10080.0,1023.1
10100.0,1020.5
10120.0,1019.0
10140.0,1016.2
10160.0,1016.8
10180.0,1013.2
10200.0,1012.4
10220.0,1010.5
10240.0,1012.8
10260.0,1011.8
10280.0,1010.1
10300.0,1007.8
10320.0,1006.6
10340.0,1005.3
10360.0,1002.5
10380.0,1003.3
10400.0,1002.9
10420.0,1003.3
10440.0,1004.3
10460.0,1004.7
10480.0,1002.8
10500.0,1004.5
10520.0,1007.3
10540.0,1006.9
10560.0,1008.8
10580.0,1009.4
10600.0,1009.4
10620.0,1011.8
10640.0,1014.5
10660.0,1016.2
10680.0,1015.0
10700.0,1019.9
10720.0,1020.2
10740.0,1021.0
10760.0,1021.1
10780.0,1019.3
10800.0,1020.9
10820.0,1022.4
10840.0,1016.9
10860.0,1016.9
10880.0,1019.0
10900.0,1018.6
10920.0,1021.1
10940.0,1019.9
10960.0,1021.8
10980.0,1022.0
11000.0,1023.0
11020.0,1024.2
11040.0,1024.2
11060.0,1022.4
11080.0,1024.0
11100.0,1024.8
11120.0,1026.1
11140.0,1029.2
11160.0,1029.8
11180.0,1030.4
11200.0,1029.9
11220.0,1030.7
11240.0,1032.0
11260.0,1031.2
11280.0,1030.7
11300.0,1031.0
11320.0,1031.4
11340.0,1032.0
11360.0,1034.9
11380.0,1032.8
11400.0,1031.2
11420.0,1033.8
11440.0,1034.6
11460.0,1036.1
11480.0,1036.9
11500.0,1034.9
11520.0,1037.3
11540.0,1040.6
11560.0,1041.8
11580.0,1042.6
11600.0,1045.1
11620.0,1047.8
11640.0,1049.2
11660.0,1052.1
11680.0,1054.6
11700.0,1056.7
11720.0,1059.8
11740.0,1063.9
11760.0,1067.0
11780.0,1068.1
11800.0,1070.1
11820.0,1072.9
11840.0,1074.1
11860.0,1077.7
11880.0,1078.3
11900.0,1080.6
11920.0,1086.2
11940.0,1088.3
11960.0,1090.9
11980.0,1095.3
12000.0,1100.1
12020.0,1102.2
12040.0,1105.2
12060.0,1105.4
12080.0,1111.7
12100.0,1112.1
12120.0,1119.0
12140.0,1121.5
12160.0,1125.3
12180.0,1127.7
12200.0,1131.2
12220.0,1135.0
12240.0,1138.6
12260.0,1142.8
12280.0,1143.9
12300.0,1148.1
12320.0,1152.8
12340.0,1153.7
12360.0,1157.6
12380.0,1160.1
12400.0,1162.6
12420.0,1167.3
12440.0,1168.4
12460.0,1170.3
12480.0,1173.3
12500.0,1175.7
12520.0,1178.0
12540.0,1180.9
12560.0,1182.2
12580.0,1186.2
12600.0,1186.5
12620.0,1191.5
12640.0,1191.5
12660.0,1191.4
12680.0,1192.8
12700.0,1190.1
12720.0,1189.8
12740.0,1187.6
12760.0,1187.4
12780.0,1183.7
12800.0,1183.2
12820.0,1178.8
12840.0,1177.2
12860.0,1173.5
